Name,Industry,Sector,,Name,Industry
AMC ,INDUS,STEEL,,GEL,#N/A
BSBM ,INDUS,STEEL,,GENCO,#N/A
CEN ,INDUS,STEEL,,GFPT,AGRO
CITY ,INDUS,STEEL,,GGC,#N/A
CSP ,INDUS,STEEL,,GIFT,#N/A
GJS ,INDUS,STEEL,,GJS,#N/A
GSTEEL ,INDUS,STEEL,,GL,#N/A
INOX ,INDUS,STEEL,,GLAND,#N/A
LHK ,INDUS,STEEL,,GLANDRT,#N/A
MAX ,INDUS,STEEL,,GLOBAL,#N/A
MCS ,INDUS,STEEL,,GLOW,#N/A
MILL ,INDUS,STEEL,,GOLD,#N/A
PAP ,INDUS,STEEL,,GPI,#N/A
PERM ,INDUS,STEEL,,GPSC,#N/A
RICH ,INDUS,STEEL,,GRAMMY,#N/A
SAM ,INDUS,STEEL,,GRAND,#N/A
SMIT ,INDUS,STEEL,,GREEN,#N/A
SSI ,INDUS,STEEL,,GTB,#N/A
SSSC ,INDUS,STEEL,,GULF,#N/A
TGPRO ,INDUS,STEEL,,GUNKUL,#N/A
THE ,INDUS,STEEL,,GVREIT,#N/A
TIW ,INDUS,STEEL,,HANA,#N/A
TMT ,INDUS,STEEL,,HARN,#N/A
TSTH ,INDUS,STEEL,,HFT,#N/A
TWP ,INDUS,STEEL,,HMPRO,#N/A
TYCN ,INDUS,STEEL,,HPF,#N/A
CCP ,PROPCON,CONMAT,,HPT,#N/A
COTTO ,PROPCON,CONMAT,,HREIT,#N/A
DCC ,PROPCON,CONMAT,,HTC,AGRO
DCON ,PROPCON,CONMAT,,HTECH,#N/A
DRT ,PROPCON,CONMAT,,HUMAN,#N/A
EPG ,PROPCON,CONMAT,,HYDRO,#N/A
GEL ,PROPCON,CONMAT,,ICHI,AGRO
PPP ,PROPCON,CONMAT,,ICN,#N/A
Q-CON ,PROPCON,CONMAT,,IFS,#N/A
RCI ,PROPCON,CONMAT,,IHL,#N/A
SCC ,PROPCON,CONMAT,,III,#N/A
SCCC ,PROPCON,CONMAT,,ILINK,#N/A
SCP ,PROPCON,CONMAT,,IMPACT,#N/A
SKN ,PROPCON,CONMAT,,INET,#N/A
TASCO ,PROPCON,CONMAT,,INGRS,#N/A
TCMC ,PROPCON,CONMAT,,INOX,#N/A
TOA ,PROPCON,CONMAT,,INTUCH,#N/A
TPIPL ,PROPCON,CONMAT,,IRC,#N/A
UMI ,PROPCON,CONMAT,,IRCP,#N/A
VNG ,PROPCON,CONMAT,,IRPC,#N/A
WIIK ,PROPCON,CONMAT,,IT,#N/A
A ,PROPCON,PROP,,ITD,#N/A
AMATA ,PROPCON,PROP,,ITEL,#N/A
AMATAV ,PROPCON,PROP,,IVL,#N/A
ANAN ,PROPCON,PROP,,J,#N/A
AP ,PROPCON,PROP,,JAS,#N/A
APEX ,PROPCON,PROP,,JASIF,#N/A
AQ ,PROPCON,PROP,,JCK,#N/A
AWC ,PROPCON,PROP,,JCKH,#N/A
BLAND ,PROPCON,PROP,,JCT,#N/A
BROCK ,PROPCON,PROP,,JKN,#N/A
CGD ,PROPCON,PROP,,JMART,#N/A
CI ,PROPCON,PROP,,JMT,#N/A
CPN ,PROPCON,PROP,,JSP,#N/A
ESTAR ,PROPCON,PROP,,JTS,#N/A
EVER ,PROPCON,PROP,,JUBILE,#N/A
FPT ,PROPCON,PROP,,JWD,#N/A
GLAND ,PROPCON,PROP,,K,#N/A
GOLD ,PROPCON,PROP,,KAMART,#N/A
GREEN ,PROPCON,PROP,,KASET,#N/A
J ,PROPCON,PROP,,KBANK,#N/A
JCK ,PROPCON,PROP,,KBS,AGRO
KC ,PROPCON,PROP,,KCAR,#N/A
KWG ,PROPCON,PROP,,KCE,#N/A
LALIN ,PROPCON,PROP,,KCM,#N/A
LH ,PROPCON,PROP,,KGI,#N/A
LPN ,PROPCON,PROP,,KIAT,#N/A
MBK ,PROPCON,PROP,,KKC,#N/A
MJD ,PROPCON,PROP,,KKP,#N/A
MK ,PROPCON,PROP,,KOOL,#N/A
NCH ,PROPCON,PROP,,KPNPF,#N/A
NNCL ,PROPCON,PROP,,KSL,AGRO
NOBLE ,PROPCON,PROP,,KTB,#N/A
NUSA ,PROPCON,PROP,,KTC,#N/A
NVD ,PROPCON,PROP,,KTIS,AGRO
ORI ,PROPCON,PROP,,KWG,#N/A
PACE ,PROPCON,PROP,,KWM,#N/A
PF ,PROPCON,PROP,,KYE,#N/A
PLAT ,PROPCON,PROP,,L&E,#N/A
POLAR ,PROPCON,PROP,,LALIN,#N/A
PRECHA ,PROPCON,PROP,,LANNA,#N/A
PRIN ,PROPCON,PROP,,LDC,#N/A
PSH ,PROPCON,PROP,,LEE,AGRO
QH ,PROPCON,PROP,,LH,#N/A
RICHY ,PROPCON,PROP,,LHFG,#N/A
RML ,PROPCON,PROP,,LHHOTEL,#N/A
ROJNA ,PROPCON,PROP,,LHK,#N/A
S ,PROPCON,PROP,,LHPF,#N/A
